id,type,name,aliases,region,state,city,lat,lon,facets,what,root,kin,sources,tier,confidence,needs_verification,updated,url
pennsylvania-fastnacht,style,Fastnacht Day in the Dutch counties,Pennsylvania Dutch fastnacht|Fasnacht Day,pennsylvania-dutch,PA,,,,"{""state"": ""PA"", ""dough"": ""potato"", ""counter"": ""donuts-only""}","One pastry, one day. Potato-dough donuts, square or diamond cut, fried for Shrove Tuesday and eaten with butter or golden syrup, sold by bakeries, churches, fire halls and — in eastern Pennsylvania — most chain supermarkets.",,fastnacht|fastnacht-day|paczki|spudnut,s:wp-fasnacht-doughnut,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/style/pennsylvania-fastnacht/
socal-pink-box,style,The Southern California pink box,the pink box shop|SoCal independent donut shop|Cambodian-American donut shop,socal|cambodian-american|us,CA,,,,"{""state"": ""CA"", ""dough"": ""both"", ""counter"": ""egg-rolls""}","An independent counter, usually in a strip mall, usually open before five in the morning, frying both doughs in one small kitchen and selling them out of a matte pink box. Glazed raised, cake rings, buttermilk bars, fritters, bear claws, maple bars, holes in a bag. Coffee in a paper cup. Often, on the same board: egg rolls, croissant sandwiches, chow mein, boba, or a breakfast burrito.",,ted-ngoy|ning-yen|christys-donuts|pink-box|egg-roll|the-donut-king|why-the-egg-rolls|glazed-raised|buttermilk-bar|randys-donuts|winchells|the-2am-shift,s:wp-ted-ngoy|s:wp-cambodian-americans|s:kqed-donuts-chinese|s:wp-doughnut-shop,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/style/socal-pink-box/
southern-hot-now,style,The hot light,Hot Now|the Southern glazed,the-south|us,NC,,,,"{""state"": ""NC"", ""dough"": ""yeast"", ""counter"": ""donuts-only""}","A glazed raised ring handed over hot, minutes out of the fryer, with the glaze still moving. Built around a window you can watch the line through, and a lit sign that says the fryer is running.",,krispy-kreme|hot-now|glazed-raised|the-2am-shift|vernon-rudolph,s:wp-krispy-kreme,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/style/southern-hot-now/
texas-kolache-counter,style,The Texas kolache counter,kolache shop|donut and kolache,texas|houston,TX,,,,"{""state"": ""TX"", ""dough"": ""both"", ""counter"": ""kolaches""}","A donut counter that also sells kolaches — and, in Texas, mostly klobasniky: sausage, ham, egg, cheese or jalapeño wrapped in sweet kolache dough. Sold from gas stations, strip-mall shops and dedicated kolache bakeries across the state, well outside the Czech settlement belt.",,kolache|klobasnek|czech-stop|round-rock-donuts|why-the-egg-rolls|the-counter,s:wp-klob-sn-k|s:wp-west-texas|s:wp-kolach-cake,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/style/texas-kolache-counter/
tulsa-mix-shop,style,The mix-and-sign shop,Daylight shop|franchise-flour independent,us|texas|the-south,,,,,"{""dough"": ""both"", ""counter"": ""kolaches""}",An independently owned shop trading under a shared name and buying its dry mix from one supplier. It looks like a chain from the road and is not one at the till.,,daylight-donuts|spudnut|what-is-a-mom-and-pop|cake-batter,s:wp-daylight-donuts|s:wp-spudnut-shops,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/style/tulsa-mix-shop/
apple-fritter,donut,Apple fritter,fritter,us,,,,,"{""dough"": ""yeast"", ""finish"": ""glazed""}","Chopped apple and cinnamon folded through raised dough, torn rather than cut, fried craggy and glazed all over so the sugar catches in every fold. No two come out the same shape.",,glazed-raised|cider-donut|bear-claw|glaze-table,s:wp-fritter|s:wp-doughnut,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/apple-fritter/
bavarian-cream,donut,Bavarian cream,custard-filled|cream-filled|Boston cream (when chocolate-topped),us,,,,,"{""dough"": ""yeast"", ""finish"": ""filled""}","A raised round with no hole, filled with a set custard — Bavarian cream is custard lightened with whipped cream and held with gelatin — and finished in sugar, or iced with chocolate, at which point most counters call it a Boston cream.",,bismarck|filling-injector|long-john|day-old,s:wp-bavarian-cream|s:wp-jelly-doughnut|s:wp-custard|s:fdc-sr-legacy,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/bavarian-cream/
bear-claw,donut,Bear claw,bearclaw,socal|sacramento|us,,,,,"{""dough"": ""yeast"", ""finish"": ""iced""}","A sweet yeast dough — bread dough carrying more shortening than usual — filled with almond paste and sometimes raisins, shaped in a semicircle with slices cut along the curved edge so the sections separate as it proofs, into toes.",,apple-fritter|glazed-raised|socal-pink-box,s:wp-bear-claw,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/bear-claw/
beignet,donut,Beignet,French-style beignet|New Orleans beignet,louisiana,LA,,,,"{""dough"": ""choux"", ""finish"": ""powdered"", ""state"": ""LA""}","A deep-fried pastry of French origin, in New Orleans a square of dough fried until it puffs hollow and buried in confectioner's sugar. Beignet means bump.",,cafe-du-monde|louisiana-beignet|french-cruller|powdered-sugar,s:wp-beignet|s:wp-doughnut,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/beignet/
bismarck,donut,Bismarck,bismark|jelly donut|filled donut|Berliner,upper-midwest|us,,,,,"{""dough"": ""yeast"", ""finish"": ""filled""}","A round raised donut with no hole, fried, then injected with fruit preserve, custard or cream and finished in sugar or icing.",,bavarian-cream|paczki|sufganiyah|filling-injector|glazed-raised,s:wp-jelly-doughnut|s:wp-berliner-doughnut|s:wp-doughnut|s:fdc-sr-legacy,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/bismarck/
buttermilk-bar,donut,Buttermilk bar,buttermilk donut,socal|us,,,,,"{""dough"": ""cake"", ""finish"": ""glazed""}","Cake batter cut in a bar rather than a ring, fried so it splits open along the top, and glazed heavily enough that the glaze runs into the split.",,old-fashioned|cake-donut|socal-pink-box,s:wp-cake-doughnut,tradition,medium,True,2026-09-16,https://nanobotco.github.io/pink-box/donut/buttermilk-bar/
cake-donut,donut,Cake donut,fry cake|cake-type|chemical-leavened donut,us,,,,,"{""dough"": ""cake"", ""finish"": ""sugared""}","A ring of thick batter, not dough, raised by baking powder or soda rather than yeast and dropped straight into the fat from a depositor. It is denser, shorter and smaller than a raised ring — cake rings run 24 to 28 grams against the raised ring's 38 — and it takes sugar, cinnamon sugar or a heavy icing better than it takes a thin glaze.",,glazed-raised|old-fashioned|cake-batter|cider-donut|buttermilk-bar|cake-against-raised|fry-cake|the-fryer,s:wp-cake-doughnut|s:wp-doughnut|s:wp-old-fashioned-doughnut|s:fdc-sr-legacy,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/cake-donut/
chocolate-cake,donut,Chocolate cake,devil's food|chocolate old-fashioned,us,,,,,"{""dough"": ""cake"", ""finish"": ""glazed""}","A cake ring with cocoa in the batter, glazed or sugared. Dark, dense, and sweeter than the plain cake ring on the published numbers.",,cake-donut|old-fashioned|cake-against-raised,s:wp-cake-doughnut|s:fdc-sr-legacy,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/chocolate-cake/
cider-donut,donut,Cider donut,apple cider doughnut,new-england|upstate-ny|upper-midwest,,,,,"{""dough"": ""cake"", ""finish"": ""sugared""}","An American cake donut flavoured with apple cider, cinnamon and nutmeg in the batter, usually rolled in cinnamon or granulated sugar. Denser and moister than a plain cake ring because the cider is in the batter, not on it.",,cake-donut|apple-fritter|orchard-season|new-england-cider|adolph-levitt,s:wp-cider-doughnut,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/cider-donut/
donut-holes,donut,Donut holes,holes|munchkins|donut bites,us,,,,,"{""dough"": ""both"", ""finish"": ""sugared""}","The centres cut out of ring donuts, fried and sold by the bag — or, more often now, made on purpose from the same dough or batter and never cut from anything.",,glazed-raised|hole|cake-donut,s:wp-donut-hole|s:wp-doughnut|s:fdc-sr-legacy,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/donut-holes/
fastnacht,donut,Fastnacht,fasnacht|faschnacht|fosnaught|kinkling,pennsylvania-dutch,PA,,,,"{""dough"": ""potato"", ""finish"": ""sugared"", ""state"": ""PA""}","A Pennsylvania Dutch fried donut, often made with potato dough, eaten in the days of Carnival and above all on Shrove Tuesday. Square or diamond cut, sometimes with a slit rather than a hole, sometimes plain, sometimes dusted with table sugar.",,fastnacht-day|paczki|spudnut|pennsylvania-fastnacht,s:wp-fasnacht-doughnut,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/fastnacht/
french-cruller,donut,French cruller,cruller|kruller,us,,,,,"{""dough"": ""choux"", ""finish"": ""glazed""}","A ring extruded from choux paste — flour cooked into butter and water, then beaten with eggs — piped through a star tip so it fries up ridged and hollow, and glazed thin. No yeast, no baking powder: steam lifts it.",,cake-donut|glazed-raised|the-fryer|cruller-word,s:wp-cruller|s:fdc-sr-legacy,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/french-cruller/
glazed-raised,donut,Glazed raised,raised glazed|yeast glazed|the glazed|plain glazed,us,,,,,"{""dough"": ""yeast"", ""finish"": ""glazed""}","A ring of yeast dough, proofed until it is full of gas, fried about two and a half minutes, then dragged through a thin sugar glaze while it is still hot enough to melt it. The glaze sets into a shell you can hear. Yeast-raised rings run larger and taller than cake rings and average around 38 grams apiece.",,cake-donut|yeast-raise|glaze-table|hole|donut-holes|maple-bar|socal-pink-box|cake-against-raised|hot-now,s:wp-doughnut|s:wp-cake-doughnut|s:wp-doughnut-shop|s:fdc-sr-legacy,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/glazed-raised/
long-john,donut,Long John,bar|finger doughnut|cream stick|éclair (as sold),upper-midwest|texas|us,,,,,"{""dough"": ""yeast"", ""finish"": ""iced""}","A bar-shaped raised donut, glazed all over or iced on top, sometimes filled with custard or cream.",,maple-bar|bismarck|bar-or-long-john|filling-injector,s:wp-long-john-doughnut,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/long-john/
malasada,donut,Malasada,malassada|Hawaiian donut|filhós (related),hawaii|us,HI,,,,"{""dough"": ""yeast"", ""finish"": ""sugared"", ""state"": ""HI""}","A flattened round of yeasted dough, fried and rolled in sugar — cinnamon sugar, often — with no hole and traditionally no filling. Portuguese from Madeira; Hawaiian by adoption, and the islands sell more of them than anywhere on the mainland.",,leonards-bakery|hawaii-malasada|malasada-day|bismarck|paczki,s:wp-malassada,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/malasada/
maple-bar,donut,Maple bar,maple log|maple long john|maple creamstick|maple bismarck,pacific-northwest|socal|us,,,,,"{""dough"": ""yeast"", ""finish"": ""iced""}","A bar of raised dough, fried, then topped end to end with maple-flavoured icing. Sometimes filled with custard or cream; sometimes finished with chopped bacon, which is a newer idea and an argued one.",,long-john|glazed-raised|bar-or-long-john|socal-pink-box,s:wp-long-john-doughnut,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/maple-bar/
mochi-donut,donut,Mochi donut,pon de ring|poi mochi,hawaii|socal|us,,,,,"{""dough"": ""other"", ""finish"": ""iced""}","A chewy donut made with glutinous rice flour or tapioca flour, usually formed as a ring of eight connected balls that pull apart. Moist, springy, and heavier in the hand than it looks.",,mochinut|cake-donut|hawaii-malasada,s:wp-mochi-donut|s:wp-mochinut,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/mochi-donut/
old-fashioned,donut,Old-fashioned,old fashioned|sour cream old-fashioned|fry cake,us,,,,,"{""dough"": ""cake"", ""finish"": ""glazed""}","A cake ring with a cracked surface and tapered edges, glazed or sugared so the glaze pools in the cracks. The crack is the point: more surface, crisper edge, and a ring that holds up to coffee longer than a raised one.",,cake-donut|buttermilk-bar|fry-cake|the-fryer|cake-against-raised|glaze-table,s:wp-old-fashioned-doughnut|s:wp-cake-doughnut|s:fdc-sr-legacy,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/old-fashioned/
paczki,donut,Pączki,paczki|punchki|pączek (sing.),chicago|detroit|upper-midwest,,,,,"{""dough"": ""yeast"", ""finish"": ""filled""}","A Polish filled donut: a flattened ball of rich dough — eggs, fat, sugar, yeast, sometimes milk — deep fried, filled with jam or cream, and finished in powdered sugar, icing, glaze or dried orange zest.",,paczki-day|bismarck|fastnacht|chicago-polish-bakery,s:wp-p-czki,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/paczki/
spudnut,donut,Spudnut,potato donut,utah|mountain-west|us,,,,,"{""dough"": ""potato"", ""finish"": ""glazed""}","A donut made with potato flour or mashed potato in the dough. Softer crumb, longer shelf life, and a faint savoury note under the sugar.",,fastnacht|glazed-raised|the-franchise-that-vanished|neon-donut,s:wp-spudnut-shops,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/spudnut/
sufganiyah,donut,Sufganiyah,sufganiyot|Hanukkah donut,nyc|us,,,,,"{""dough"": ""yeast"", ""finish"": ""filled""}","A round filled donut, traditionally red jelly with icing sugar on top, eaten at Hanukkah. Dulce de leche fillings became common after South American immigration to Israel early in this century.",,bismarck|paczki|filling-injector,s:wp-sufganiyah|s:wp-jelly-doughnut,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/donut/sufganiyah/
bacon-egg-and-cheese,dish,"Bacon, egg and cheese",BEC|baconeggandcheese|bodega sandwich,nyc,NY,,,,"{""course"": ""breakfast"", ""state"": ""NY""}","Bacon, fried or scrambled egg and cheese on bread — in New York City, on a kaiser roll. About 20 grams of fat and 350 calories in a typical one.",,nyc-bodega-donut|anthora-cup|the-counter,s:wp-bacon-egg-and-cheese-sandwich|s:wp-bodega,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/dish/bacon-egg-and-cheese/
biscuits-and-gravy,dish,Biscuits and gravy,,the-south|us,,,,,"{""course"": ""breakfast""}","Soft wheat biscuits split and covered in a white gravy built on sausage drippings, flour and milk.",,why-the-egg-rolls|southern-hot-now,s:wp-biscuits-and-gravy,cited,medium,False,2026-09-16,https://nanobotco.github.io/pink-box/dish/biscuits-and-gravy/
boba,dish,Boba,bubble tea|pearl milk tea,socal|us,,,,,"{""course"": ""drink""}","Tea with milk and tapioca pearls, sealed under a film lid and drunk through a fat straw.",,socal-pink-box|mochi-donut,s:wp-bubble-tea,cited,medium,False,2026-09-16,https://nanobotco.github.io/pink-box/dish/boba/
breakfast-burrito,dish,Breakfast burrito,breakfast wrap,new-mexico|southwest,,,,,"{""course"": ""breakfast""}","Breakfast inside a flour tortilla: scrambled egg, potato, cheese, and in the Southwest, New Mexico chile, jalapeño, salsa, onion, chorizo or bacon.",,new-mexico-burrito-counter|egg-roll|why-the-egg-rolls,s:wp-breakfast-burrito,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/dish/breakfast-burrito/
chicory-coffee,dish,Coffee with chicory,café au lait|New Orleans coffee,louisiana,LA,,,,"{""course"": ""drink"", ""state"": ""LA""}",Coffee blended with roasted chicory root and cut half-and-half with hot milk.,,cafe-du-monde|beignet|the-pot-of-coffee,s:wp-caf-du-monde,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/dish/chicory-coffee/
egg-roll,dish,Egg roll,eggroll,socal|chinese-american|us,,,,,"{""course"": ""savory""}","A cylindrical deep-fried roll in a thick wheat skin — shredded cabbage, chopped meat, sometimes shrimp — eaten with the fingers out of a cellophane packet of duck sauce. Despite the name it generally has no egg in it, though egg white sometimes seals the seam.",,socal-pink-box|why-the-egg-rolls|fried-rice|the-fryer,s:wp-egg-roll|s:kqed-donuts-chinese,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/dish/egg-roll/
fried-rice,dish,Fried rice and chow mein,chow mein|the hot case,socal|chinese-american,,,,,"{""course"": ""savory""}","Cooked rice stir-fried with egg, vegetables and meat, held hot in a steam table beside the donut case — with chow mein next to it in many shops.",,egg-roll|delta-grocery-counter|why-the-egg-rolls,s:wp-fried-rice|s:kqed-donuts-chinese,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/dish/fried-rice/
klobasnek,dish,Klobasnek,klobásník|klobasniky|Texas kolache (as sold),texas|houston,TX,,,,"{""course"": ""savory"", ""state"": ""TX""}","Sausage — klobása, traditionally — wrapped in kolache dough and baked. Ham, egg, cheese, jalapeño and hot dog are all standard now, and in some Texas shops boudin, the Cajun pork-and-rice sausage.",,kolache|texas-kolache-counter|czech-stop,s:wp-klob-sn-k,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/dish/klobasnek/
kolache,dish,Kolache,koláč|kolach|kolaches,texas,TX,,,,"{""course"": ""sweet"", ""state"": ""TX""}","A sweet bread with a well of fruit or cheese in the middle of puffy yeast dough — tvaroh, jam, poppy seed, or povidla, which is prune. Baked, not fried.",,klobasnek|texas-kolache-counter|czech-stop,s:wp-kolach-cake|s:wp-klob-sn-k,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/dish/kolache/
the-pot-of-coffee,dish,The pot of coffee,drip coffee|the regular|bottomless cup,us,,,,,"{""course"": ""drink""}","Drip coffee from a glass pot on a warmer, in a paper cup or a mug, refilled by whoever is at the counter.",,dunkin-country|bill-rosenberg|chicory-coffee,s:wp-dunkin-donuts|s:wp-coffeehouse,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/dish/the-pot-of-coffee/
cake-batter,kitchen,The batter and the depositor,depositor|the drop,us,,,,,"{""kind"": ""mix""}","A thick chemically-leavened batter dropped straight into hot fat through a hand-held or bench depositor, which forms the ring as it falls.",,cake-donut|yeast-raise|tulsa-mix-shop|adolph-levitt,s:wp-cake-doughnut|s:wp-doughnut-shop,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/kitchen/cake-batter/
day-old-rack,kitchen,Day-old,the day-old rack|yesterday's,us,,,,,"{""kind"": ""hold""}","Yesterday's donuts, sold cheap the next morning, usually bagged rather than boxed and usually the rings rather than the filled ones.",,glazed-raised|cake-donut|day-old,s:wp-doughnut,tradition,medium,True,2026-09-16,https://nanobotco.github.io/pink-box/kitchen/day-old-rack/
filling-injector,kitchen,The filler,the injector|the nozzle|the pump,us,,,,,"{""kind"": ""finish""}","A hand pump or bench machine that pushes jam, custard or cream through a nozzle into the side of a fried round.",,bismarck|bavarian-cream|paczki|day-old,s:wp-jelly-doughnut|s:wp-p-czki|s:wp-fruit-preserves,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/kitchen/filling-injector/
frying-fat,kitchen,What is in the kettle,shortening|lard|frying oil,us,,,,,"{""kind"": ""fry""}","The fat itself: lard, beef tallow, vegetable shortening, or liquid oils — canola, soybean, palm.",,the-fryer|paczki|cake-against-raised,s:wp-shortening|s:wp-trans-fat|s:wp-p-czki|s:wp-lard,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/kitchen/frying-fat/
glaze-table,kitchen,The glaze table,the waterfall|the dip,us,,,,,"{""kind"": ""finish""}","A shallow pan of thin sugar glaze beside the fryer, where raised rings are dragged through face-down within a minute of coming out of the fat.",,glazed-raised|powdered-sugar|sprinkle-and-dip|southern-hot-now,s:wp-glaze-cooking|s:wp-powdered-sugar|s:wp-cake-doughnut,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/kitchen/glaze-table/
hand-cut,kitchen,Cutting by hand,the bench|hand-cut|the cutter,us,,,,,"{""kind"": ""cut""}","Rolling sheeted dough and cutting rings with a two-ring cutter, rather than depositing or buying pre-formed shells.",,glazed-raised|allies-donuts|donut-holes,s:wp-doughnut,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/kitchen/hand-cut/
proof-box,kitchen,The proof box,proofer|the cabinet,us,,,,,"{""kind"": ""raise""}",A warm humid cabinet where cut rings take their final rise before they go in the fat.,,yeast-raise|glazed-raised,s:wp-proofing-baking-technique,tradition,medium,False,2026-09-16,https://nanobotco.github.io/pink-box/kitchen/proof-box/
sprinkle-and-dip,kitchen,Dipping and sprinkles,jimmies|nonpareils|the dip,us,,,,,"{""kind"": ""finish""}","Icing in flat pans, sprinkles in bins: a donut is dipped face-down, then set in the sprinkles while the icing is still wet.",,glaze-table|the-case|jimmies,s:wp-sprinkles,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/kitchen/sprinkle-and-dip/
the-2am-shift,kitchen,The night shift,the two o'clock|the night bake,us,,,,,"{""kind"": ""shift""}",The hours the work actually happens in: dough started in the small hours so the case is full when the door opens.,,yeast-raise|southern-hot-now|socal-pink-box|vernon-rudolph,s:wp-krispy-kreme|s:wp-doughnut,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/kitchen/the-2am-shift/
the-case,kitchen,The case,the display|the tray,us,,,,,"{""kind"": ""hold""}","The glass case: trays by kind, tongs on a hook, and a layout that repeats across the country without anyone having agreed on it.",,sprinkle-and-dip|day-old-rack|the-dozen,s:this-project,inference,medium,False,2026-09-16,https://nanobotco.github.io/pink-box/kitchen/the-case/
the-fryer,kitchen,The kettle,the fryer|the vat|the flip,us,,,,,"{""kind"": ""fry""}","A shallow open kettle of hot fat with a screen, where every donut in the shop is cooked, turned once, and lifted out.",,glazed-raised|cake-donut|frying-fat|cake-against-raised,s:wp-doughnut|s:wp-cake-doughnut|s:wp-deep-frying,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/kitchen/the-fryer/
yeast-raise,kitchen,The raise,proofing|the rise|bulk ferment,us,,,,,"{""kind"": ""raise""}","Baker's yeast fermenting a sweet dough until it is full of gas — once in bulk, once again after the rings are cut.",,glazed-raised|proof-box|cake-batter|the-2am-shift,s:wp-proofing-baking-technique|s:wp-baker-s-yeast|s:wp-cake-doughnut,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/kitchen/yeast-raise/
allies-donuts,place,Allie's Donuts,Allie's Hand-Cut Do-nut Shop,new-england,RI,North Kingstown,41.59826,-71.49684,"{""state"": ""RI"", ""status"": ""open"", ""founded"": 1968, ""dough"": ""both""}","A shop on Route 2 in North Kingstown, Rhode Island, cutting its donuts by hand since 1968, and the state's landmark of the trade.",,dunkin-country|donuts-per-capita|hand-cut,s:wp-allie-s-donuts,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/place/allies-donuts/
bobs-donuts,place,Bob's Donuts and Pastries,Bob's Donuts|Bob's on Polk,bay-area,CA,San Francisco,37.79182,-122.42128,"{""state"": ""CA"", ""status"": ""open"", ""founded"": 1953, ""dough"": ""both""}","A 24-hour counter on Polk Street in San Francisco, busiest after midnight, and two other locations.",,bay-area-late-counter|glazed-raised,s:wp-bob-s-donuts,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/place/bobs-donuts/
